1,Фарш мясной (смешанный),1,г.,500.0
2,Мука,2,г.,500.0
3,Вода,2,мл.,500.0
4,Масло растительное,2,ст. л.,2.0
5,Дрожжи сухие,2,ч. л.,1.0
6,Соль,2,ч. л.,1.0
7,Сахар,2,ст. л. ,1.0
8,Мясо (говядина и свинина),2,г.,500.0
9,Лук репчатый,2,шт.,3.0
10,Перец черный молотый,2,г.,5.0
11,Соль,2,г.,5.0
12,Масло растительное рафинированное,2,г.,200.0
13,Лук репчатый,1,шт.,2.0
14,Картофель,1,шт.,2.0
15,Чеснок,1,зубчика,2.0
16,Яйцо,1,шт.,1.0
17,Сметана,1,ст. л.,1.0
18,Мука,1,г.,7.0
19,Соль,1,ч. л.,1.0
20,Перец молотый,1,ч. л.,1.0
21,Масло растительное для жарки,1,г.,50.0
22,Грудинка говяжья (на кости),3,г.,500.0
23,Рёбра свиные,3,г.,300.0
24,Ветчина,3,г.,100.0
25,Колбаса копчёная,3,г.,100.0
26,Сосиски молочные,3,г.,100.0
27,Бекон копчёный,3,г.,150.0
28,Огурцы солёные (бочковые),3,г.,150.0
29,Лук репчатый,3,шт.,2.0
30,Морковь,3,шт.,1.0
31,Томатная паста,3,ст. л.,1.0
32,Оливки и маслины (без косточек),3,г.,100.0
33,Лавровый лист,3,шт.,2.0
34,Соль,3,ч. л.,1.0
35,Перец чёрный молотый,3,ч. л.,1.5
36,Вода,3,мл.,2000.0
37,Лимон,3,шт.,0.5
38,Зелень свежая,3,г.,100.0
39,Говядина,4,г.,600.0
40,Лук репчатый,4,шт.,2.0
41,Масло сливочное,4,г.,100.0
42,Чеснок,4,зубчика,2.0
43,Вода,4,мл.,150.0
44,Соль,4,ч. л.,0.5
45,Сахар,4,ч. л.,1.0
46,Уксус 6%,4,ч. л.,1.0
